# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 117.837 88.5689 344.29 19.2775 160.907 312.106 17.802
# goal = displacement(m,base) 1.57655e-06 -1.44397e-05 -4.57607e-05 orientation held
# duration_s = 8
# timesteps = 10
# final_error = 1.676010831e-09
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 1.223520691e-06 -1.452274764e-05 -4.558442861e-05 (norm 4.785757342e-05)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0.06,117.8370004,88.56889823,-15.7100002,19.27750292,160.9069999,-47.89399892,17.80200032,1.431967694e-05,-5.896203035e-05,-6.639925929e-06,9.707272388e-05,-2.032420445e-06,3.578467257e-05,1.079595643e-05
0.061,117.8370004,88.56889817,-15.71000021,19.27750302,160.9069999,-47.89399889,17.80200034,1.45565007e-05,-5.993716477e-05,-6.749739317e-06,9.867814611e-05,-2.066033336e-06,3.637649183e-05,1.097450369e-05
0.062,117.8370005,88.56889811,-15.71000021,19.27750312,160.9069999,-47.89399885,17.80200035,1.479326435e-05,-6.091205165e-05,-6.85952483e-06,0.0001002831608,-2.099637664e-06,3.696816088e-05,1.115300562e-05
0.063,117.8370005,88.56889805,-15.71000022,19.27750322,160.9069999,-47.89399881,17.80200036,1.502996789e-05,-6.188669101e-05,-6.969282466e-06,0.000101887768,-2.133233482e-06,3.755967969e-05,1.133146223e-05
0.064,117.8370005,88.56889798,-15.71000023,19.27750332,160.9069999,-47.89399878,17.80200037,1.52666113e-05,-6.286108285e-05,-7.079012229e-06,0.0001034919677,-2.166820763e-06,3.815104829e-05,1.150987352e-05
0.065,117.8370005,88.56889792,-15.71000023,19.27750343,160.9069999,-47.89399874,17.80200038,1.550319458e-05,-6.383522716e-05,-7.188714118e-06,0.0001050957598,-2.200399494e-06,3.874226664e-05,1.168823948e-05
0.066,117.8370005,88.56889786,-15.71000024,19.27750353,160.9069999,-47.8939987,17.80200039,1.573971779e-05,-6.480912393e-05,-7.29838813e-06,0.0001066991444,-2.233969714e-06,3.933333478e-05,1.186656013e-05
0.067,117.8370005,88.56889779,-15.71000025,19.27750364,160.9069999,-47.89399866,17.8020004,1.597618085e-05,-6.578277319e-05,-7.408034269e-06,0.0001083021216,-2.267531373e-06,3.992425269e-05,1.204483545e-05
0.068,117.8370006,88.56889772,-15.71000026,19.27750375,160.9069999,-47.89399862,17.80200042,1.621258382e-05,-6.67561749e-05,-7.517652533e-06,0.0001099046911,-2.301084532e-06,4.051502037e-05,1.222306545e-05
0.069,117.8370006,88.56889766,-15.71000026,19.27750386,160.9069999,-47.89399858,17.80200043,1.644892665e-05,-6.772932911e-05,-7.627242919e-06,0.0001115068532,-2.334629143e-06,4.110563783e-05,1.240125012e-05
0.07,117.8370006,88.56889759,-15.71000027,19.27750397,160.9069999,-47.89399854,17.80200044,1.668520939e-05,-6.870223578e-05,-7.736805433e-06,0.0001131086078,-2.368165217e-06,4.169610506e-05,1.257938948e-05
0.071,117.8370006,88.56889752,-15.71000028,19.27750408,160.9069999,-47.89399849,17.80200045,1.692143198e-05,-6.967489492e-05,-7.846340072e-06,0.0001147099548,-2.40169278e-06,4.228642206e-05,1.275748351e-05
0.072,117.8370006,88.56889745,-15.71000029,19.2775042,160.9069999,-47.89399845,17.80200047,1.715759448e-05,-7.064730654e-05,-7.955846834e-06,0.0001163108943,-2.435211793e-06,4.287658883e-05,1.293553222e-05
0.073,117.8370006,88.56889738,-15.7100003,19.27750432,160.9069999,-47.89399841,17.80200048,1.739369685e-05,-7.161947062e-05,-8.065325721e-06,0.0001179114263,-2.468722257e-06,4.346660538e-05,1.311353561e-05
0.074,117.8370007,88.56889731,-15.7100003,19.27750444,160.9069999,-47.89399836,17.80200049,1.762973913e-05,-7.259138718e-05,-8.174776735e-06,0.0001195115508,-2.502224223e-06,4.405647169e-05,1.329149367e-05
0.075,117.8370007,88.56889723,-15.71000031,19.27750456,160.9069999,-47.89399832,17.80200051,1.786572128e-05,-7.356305621e-05,-8.284199874e-06,0.0001211112677,-2.535717639e-06,4.464618779e-05,1.346940642e-05
0.076,117.8370007,88.56889716,-15.71000032,19.27750468,160.9069999,-47.89399828,17.80200052,1.810164331e-05,-7.453447772e-05,-8.393595137e-06,0.0001227105772,-2.569202531e-06,4.523575365e-05,1.364727383e-05
0.077,117.8370007,88.56889708,-15.71000033,19.2775048,160.9069999,-47.89399823,17.80200053,1.833750523e-05,-7.550565169e-05,-8.502962525e-06,0.0001243094791,-2.602678874e-06,4.582516929e-05,1.382509593e-05
0.078,117.8370007,88.56889701,-15.71000034,19.27750493,160.9069999,-47.89399818,17.80200055,1.857330704e-05,-7.647657814e-05,-8.612302038e-06,0.0001259079735,-2.636146706e-06,4.64144347e-05,1.400287271e-05
0.079,117.8370007,88.56889693,-15.71000035,19.27750505,160.9069999,-47.89399814,17.80200056,1.880904872e-05,-7.744725707e-05,-8.721613678e-06,0.0001275060604,-2.669605989e-06,4.700354989e-05,1.418060416e-05
0.08,117.8370008,88.56889685,-15.71000035,19.27750518,160.9069999,-47.89399809,17.80200058,1.90447303e-05,-7.841768847e-05,-8.830897438e-06,0.0001291037397,-2.70305676e-06,4.759251485e-05,1.435829029e-05
0.081,117.8370008,88.56889677,-15.71000036,19.27750531,160.9069999,-47.89399804,17.80200059,1.928035175e-05,-7.938787233e-05,-8.940153329e-06,0.0001307010116,-2.736498995e-06,4.818132957e-05,1.45359311e-05
0.082,117.8370008,88.56889669,-15.71000037,19.27750544,160.9069999,-47.89399799,17.80200061,1.951591309e-05,-8.035780867e-05,-9.049381342e-06,0.0001322978759,-2.769932668e-06,4.876999408e-05,1.471352659e-05
0.083,117.8370008,88.56889661,-15.71000038,19.27750558,160.9069999,-47.89399794,17.80200062,1.975141432e-05,-8.132749748e-05,-9.158581481e-06,0.0001338943327,-2.803357842e-06,4.935850835e-05,1.489107675e-05
0.084,117.8370008,88.56889653,-15.71000039,19.27750571,160.9069999,-47.89399789,17.80200064,1.998685544e-05,-8.229693877e-05,-9.267753745e-06,0.000135490382,-2.83677448e-06,4.994687241e-05,1.50685816e-05
0.085,117.8370009,88.56889645,-15.7100004,19.27750585,160.9069999,-47.89399784,17.80200065,2.022223644e-05,-8.326613253e-05,-9.376898133e-06,0.0001370860237,-2.870182568e-06,5.053508623e-05,1.524604111e-05
0.086,117.8370009,88.56889636,-15.71000041,19.27750599,160.9069999,-47.89399779,17.80200067,2.045755731e-05,-8.423507874e-05,-9.486014647e-06,0.000138681258,-2.903582107e-06,5.112314982e-05,1.542345531e-05
0.087,117.8370009,88.56889628,-15.71000042,19.27750612,160.9069999,-47.89399774,17.80200068,2.069281809e-05,-8.520377744e-05,-9.595103287e-06,0.0001402760847,-2.936973148e-06,5.171106319e-05,1.560082419e-05
0.088,117.8370009,88.56889619,-15.71000043,19.27750627,160.9069999,-47.89399769,17.8020007,2.092801874e-05,-8.617222862e-05,-9.70416405e-06,0.0001418705039,-2.970355665e-06,5.229882633e-05,1.577814774e-05
0.089,117.8370009,88.56889611,-15.71000044,19.27750641,160.9069999,-47.89399764,17.80200071,2.116315928e-05,-8.714043229e-05,-9.813196938e-06,0.0001434645156,-3.003729607e-06,5.288643925e-05,1.595542597e-05
0.09,117.837001,88.56889602,-15.71000045,19.27750655,160.9069999,-47.89399758,17.80200073,2.13982397e-05,-8.81083884e-05,-9.922201953e-06,0.0001450581198,-3.037095101e-06,5.347390193e-05,1.613265888e-05
0.091,117.837001,88.56889593,-15.71000046,19.2775067,160.9069999,-47.89399753,17.80200074,2.163326001e-05,-8.907609699e-05,-1.003117909e-05,0.0001466513164,-3.070451944e-06,5.40612144e-05,1.630984646e-05
0.092,117.837001,88.56889584,-15.71000047,19.27750685,160.9069999,-47.89399748,17.80200076,2.186822018e-05,-9.004355806e-05,-1.014012835e-05,0.0001482441055,-3.103800365e-06,5.464837663e-05,1.648698873e-05
0.093,117.837001,88.56889575,-15.71000048,19.27750699,160.9069999,-47.89399742,17.80200078,2.210312026e-05,-9.10107716e-05,-1.024904974e-05,0.0001498364871,-3.137140186e-06,5.523538864e-05,1.666408567e-05
0.094,117.8370011,88.56889566,-15.71000049,19.27750715,160.9069999,-47.89399737,17.80200079,2.233796022e-05,-9.197773761e-05,-1.035794326e-05,0.0001514284612,-3.170471483e-06,5.582225042e-05,1.684113729e-05
0.095,117.8370011,88.56889557,-15.7100005,19.2775073,160.9069998,-47.89399731,17.80200081,2.257274009e-05,-9.29444561e-05,-1.04668089e-05,0.0001530200278,-3.203794257e-06,5.640896197e-05,1.701814358e-05
0.096,117.8370011,88.56889547,-15.71000051,19.27750745,160.9069998,-47.89399725,17.80200083,2.280745981e-05,-9.391092704e-05,-1.057564666e-05,0.0001546111868,-3.237108506e-06,5.69955233e-05,1.719510456e-05
0.097,117.8370011,88.56889538,-15.71000052,19.27750761,160.9069998,-47.8939972,17.80200085,2.304211941e-05,-9.487715046e-05,-1.068445655e-05,0.0001562019384,-3.270414206e-06,5.758193439e-05,1.737202021e-05
0.098,117.8370011,88.56889528,-15.71000053,19.27750776,160.9069998,-47.89399714,17.80200086,2.327671892e-05,-9.584312636e-05,-1.079323857e-05,0.0001577922824,-3.303711382e-06,5.816819526e-05,1.754889054e-05
0.099,117.8370012,88.56889519,-15.71000054,19.27750792,160.9069998,-47.89399708,17.80200088,2.35112583e-05,-9.680885475e-05,-1.090199271e-05,0.0001593822189,-3.337000034e-06,5.875430591e-05,1.772571554e-05
0.1,117.8370012,88.56889509,-15.71000055,19.27750808,160.9069998,-47.89399702,17.8020009,2.374573757e-05,-9.777433559e-05,-1.101071897e-05,0.0001609717478,-3.370280162e-06,5.934026632e-05,1.790249523e-05
0.101,117.8370012,88.56889499,-15.71000056,19.27750824,160.9069998,-47.89399696,17.80200092,2.398015673e-05,-9.87395689e-05,-1.111941736e-05,0.0001625608693,-3.403551716e-06,5.992607652e-05,1.807922959e-05
0.102,117.8370012,88.56889489,-15.71000058,19.27750841,160.9069998,-47.8939969,17.80200094,2.421451576e-05,-9.97045547e-05,-1.122808787e-05,0.0001641495832,-3.436814796e-06,6.051173649e-05,1.825591864e-05
