# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 0 15 180 230 0 55 90
# goal = joints(deg) 0 15 180 234 0 59 90
# duration_s = 10
# timesteps = 10
# final_error = 5.845072818e-05
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 0.015012273 2.352699058e-09 -0.04904647973 (norm 0.05129254833)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0.046,-3.334953039e-06,14.99999969,180.000004,-129.9997469,4.671544626e-07,55.00025288,89.99999865,-0.00014476493,-1.34035953e-05,0.0001746122695,0.01098814809,2.027842139e-05,0.01097730783,-5.851079821e-05
0.047,-3.48128409e-06,14.99999968,180.0000042,-129.9997358,4.876522634e-07,55.00026398,89.99999859,-0.0001478970657,-1.369359564e-05,0.0001783901826,0.01122588779,2.071716556e-05,0.01121481299,-5.977673853e-05
0.048,-3.63074696e-06,14.99999966,180.0000044,-129.9997244,5.085887642e-07,55.00027531,89.99999853,-0.0001510285691,-1.398353744e-05,0.0001821673331,0.0114635795,2.115582115e-05,0.0114522702,-6.104242328e-05
0.049,-3.783341017e-06,14.99999965,180.0000046,-129.9997128,5.299638762e-07,55.00028689,89.99999847,-0.0001541594403,-1.42734207e-05,0.0001859437209,0.01170122321,2.159438817e-05,0.01168967947,-6.230785248e-05
0.05,-3.93906563e-06,14.99999964,180.0000048,-129.999701,5.51777511e-07,55.00029869,89.99999841,-0.0001572896791,-1.456324541e-05,0.000189719346,0.01193881893,2.203286662e-05,0.01192704079,-6.35730261e-05
0.051,-4.097920165e-06,14.99999962,180.0000049,-129.999689,5.740295799e-07,55.00031074,89.99999834,-0.0001604192856,-1.485301158e-05,0.0001934942084,0.01217636665,2.24712565e-05,0.01216435417,-6.483794417e-05
0.052,-4.25990399e-06,14.99999961,180.0000051,-129.9996767,5.967199945e-07,55.00032302,89.99999828,-0.0001635482598,-1.514271921e-05,0.0001972683082,0.01241386638,2.29095578e-05,0.01240161959,-6.610260667e-05
0.053,-4.425016473e-06,14.99999959,180.0000053,-129.9996641,6.19848666e-07,55.00033554,89.99999821,-0.0001666766017,-1.543236829e-05,0.0002010416452,0.01265131812,2.334777053e-05,0.01263883707,-6.73670136e-05
0.054,-4.593256983e-06,14.99999957,180.0000055,-129.9996514,6.43415506e-07,55.0003483,89.99999814,-0.0001698043113,-1.572195882e-05,0.0002048142196,0.01288872186,2.378589469e-05,0.01287600661,-6.863116497e-05
0.055,-4.764624885e-06,14.99999956,180.0000057,-129.9996383,6.674204259e-07,55.00036129,89.99999807,-0.0001729313885,-1.601149081e-05,0.0002085860313,0.01312607761,2.422393027e-05,0.01311312819,-6.989506077e-05
0.056,-4.939119549e-06,14.99999954,180.000006,-129.9996251,6.91863337e-07,55.00037453,89.999998,-0.0001760578335,-1.630096426e-05,0.0002123570804,0.01336338536,2.466187728e-05,0.01335020183,-7.115870101e-05
0.057,-5.116740341e-06,14.99999953,180.0000062,-129.9996116,7.167441509e-07,55.00038799,89.99999793,-0.0001791836462,-1.659037916e-05,0.0002161273668,0.01360064512,2.509973572e-05,0.01358722753,-7.242208569e-05
0.058,-5.297486631e-06,14.99999951,180.0000064,-129.9995979,7.420627789e-07,55.0004017,89.99999786,-0.0001823088265,-1.687973551e-05,0.0002198968905,0.01383785689,2.553750559e-05,0.01382420527,-7.36852148e-05
0.059,-5.481357784e-06,14.99999949,180.0000066,-129.9995839,7.678191326e-07,55.00041564,89.99999778,-0.0001854333746,-1.716903333e-05,0.0002236656515,0.01407502066,2.597518688e-05,0.01406113507,-7.494808834e-05
0.06,-5.668353169e-06,14.99999948,180.0000068,-129.9995698,7.940131232e-07,55.00042982,89.99999771,-0.0001885572903,-1.745827259e-05,0.0002274336498,0.01431213643,2.641277961e-05,0.01429801692,-7.621070632e-05
0.061,-5.858472154e-06,14.99999946,180.0000071,-129.9995553,8.206446622e-07,55.00044424,89.99999763,-0.0001916805737,-1.774745332e-05,0.0002312008855,0.01454920422,2.685028375e-05,0.01453485083,-7.747306874e-05
0.062,-6.051714106e-06,14.99999944,180.0000073,-129.9995407,8.477136612e-07,55.00045889,89.99999755,-0.0001948032249,-1.80365755e-05,0.0002349673585,0.014786224,2.728769933e-05,0.01477163678,-7.873517558e-05
0.063,-6.248078393e-06,14.99999942,180.0000075,-129.9995257,8.752200314e-07,55.00047378,89.99999747,-0.0001979252437,-1.832563913e-05,0.0002387330688,0.0150231958,2.772502634e-05,0.0150083748,-7.999702687e-05
0.064,-6.447564382e-06,14.9999994,180.0000078,-129.9995106,9.031636843e-07,55.00048891,89.99999739,-0.0002010466302,-1.861464422e-05,0.0002424980165,0.0152601196,2.816226477e-05,0.01524506486,-8.125862259e-05
0.065,-6.650171442e-06,14.99999938,180.000008,-129.9994952,9.315445314e-07,55.00050427,89.99999731,-0.0002041673844,-1.890359076e-05,0.0002462622014,0.0154969954,2.859941463e-05,0.01548170698,-8.251996274e-05
0.066,-6.85589894e-06,14.99999937,180.0000083,-129.9994796,9.60362484e-07,55.00051987,89.99999723,-0.0002072875063,-1.919247876e-05,0.0002500256237,0.01573382321,2.903647591e-05,0.01571830115,-8.378104733e-05
0.067,-7.064746244e-06,14.99999935,180.0000085,-129.9994638,9.896174537e-07,55.00053571,89.99999714,-0.0002104069959,-1.948130822e-05,0.0002537882834,0.01597060303,2.947344863e-05,0.01595484737,-8.504187637e-05
0.068,-7.276712721e-06,14.99999933,180.0000088,-129.9994477,1.019309352e-06,55.00055178,89.99999706,-0.0002135258531,-1.977007913e-05,0.0002575501803,0.01620733485,2.991033277e-05,0.01619134565,-8.630244983e-05
0.069,-7.491797739e-06,14.99999931,180.000009,-129.9994313,1.04943809e-06,55.00056809,89.99999697,-0.0002166440781,-2.00587915e-05,0.0002613113146,0.01644401868,3.034712834e-05,0.01642779598,-8.756276772e-05
0.07,-7.710000667e-06,14.99999929,180.0000093,-129.9994148,1.080003579e-06,55.00058464,89.99999688,-0.0002197616708,-2.034744532e-05,0.0002650716862,0.01668065451,3.078383533e-05,0.01666419836,-8.882283005e-05
0.071,-7.93132087e-06,14.99999927,180.0000096,-129.999398,1.111005731e-06,55.00060142,89.99999679,-0.0002228786311,-2.06360406e-05,0.0002688312951,0.01691724235,3.122045376e-05,0.01690055279,-9.008263682e-05
0.072,-8.155757718e-06,14.99999924,180.0000098,-129.999381,1.142444457e-06,55.00061844,89.9999967,-0.0002259949592,-2.092457733e-05,0.0002725901413,0.01715378219,3.165698361e-05,0.01713685928,-9.134218801e-05
0.073,-8.383310578e-06,14.99999922,180.0000101,-129.9993637,1.174319669e-06,55.00063569,89.99999661,-0.0002291106549,-2.121305552e-05,0.0002763482249,0.01739027404,3.209342489e-05,0.01737311782,-9.260148366e-05
0.074,-8.613978817e-06,14.9999992,180.0000104,-129.9993462,1.206631277e-06,55.00065319,89.99999652,-0.0002322257183,-2.150147516e-05,0.0002801055458,0.0176267179,3.252977759e-05,0.01760932842,-9.386052373e-05
0.075,-8.847761804e-06,14.99999918,180.0000107,-129.9993284,1.239379194e-06,55.00067091,89.99999642,-0.0002353401495,-2.178983626e-05,0.000283862104,0.01786311376,3.296604173e-05,0.01784549107,-9.511930824e-05
0.076,-9.084658905e-06,14.99999916,180.000011,-129.9993104,1.272563331e-06,55.00068888,89.99999633,-0.0002384539483,-2.207813882e-05,0.0002876178995,0.01809946163,3.340221729e-05,0.01808160577,-9.637783718e-05
0.077,-9.32466949e-06,14.99999914,180.0000112,-129.9992922,1.306183599e-06,55.00070708,89.99999623,-0.0002415671148,-2.236638283e-05,0.0002913729324,0.0183357615,3.383830428e-05,0.01831767252,-9.763611056e-05
0.078,-9.567792924e-06,14.99999911,180.0000115,-129.9992738,1.34023991e-06,55.00072551,89.99999613,-0.000244679649,-2.265456829e-05,0.0002951272026,0.01857201338,3.427430269e-05,0.01855369133,-9.889412837e-05
